,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,haines junction,60.7522,-137.5108,-5.8,59,97,1.63,CA,1612568212
321,aswan,24.0934,32.907,58.14,50,0,10.98,EG,1612568212
322,bow island,49.8668,-111.3684,1.4,85,100,14.97,CA,1612568212
323,talnakh,69.4865,88.3972,-27.47,83,84,4.56,RU,1612568213
324,taoudenni,22.6783,-3.9836,77.2,19,94,10.31,ML,1612568213
325,gighera,43.85,23.8,44.01,93,18,5.75,RO,1612568213
326,bayangol,50.6977,103.4656,-13.74,86,27,2.08,RU,1612568213
327,voskresenskoye,56.8381,45.4317,3.92,94,100,9.28,RU,1612568213
328,flin flon,54.7682,-101.865,-16.6,63,20,13.8,CA,1612567932
329,nevinnomyssk,44.6267,41.9453,26.6,86,0,22.37,RU,1612568213
330,zalantun,48.0,122.7167,-2.79,86,47,4.65,CN,1612568213
331,elizabeth city,36.2946,-76.2511,48.99,93,90,9.22,US,1612568214
332,sabzevar,36.2126,57.6819,47.39,47,65,2.1,IR,1612568214
333,ridgecrest,35.6225,-117.6709,69.8,13,1,3.44,US,1612567954
334,rio muerto,27.4167,-110.2333,78.8,19,1,12.66,MX,1612568214
335,kibala,9.1104,18.3463,77.0,29,0,5.53,TD,1612568214
336,cootamundra,-34.65,148.0333,75.0,53,67,3.0,AU,1612568214
337,sedona,34.8697,-111.761,59.0,25,1,6.91,US,1612568088
338,tagusao,9.1924,117.8141,79.84,81,100,5.46,PH,1612568215
339,tateyama,34.9833,139.8667,45.0,66,77,1.99,JP,1612567929
340,broken hill,-31.95,141.4333,69.8,52,0,18.41,AU,1612568215
341,kabinda,-6.1333,24.4833,68.41,94,100,1.07,CD,1612568215
342,alice springs,-23.7,133.8833,78.01,35,90,12.66,AU,1612568215
343,trosna,52.4446,35.7791,5.67,95,100,8.9,RU,1612568215
344,pisco,-13.7,-76.2167,71.6,83,0,17.27,PE,1612568059
345,saskylakh,71.9167,114.0833,-28.95,84,89,5.75,RU,1612568215
346,shymkent,42.3,69.6,41.0,65,100,6.71,KZ,1612568216
347,cherskiy,68.75,161.3,-16.04,77,1,0.4,RU,1612568216
348,khorixas,-20.3667,14.9667,72.97,48,39,1.97,NA,1612568216
349,krasnaya gora,52.9995,31.6023,15.8,86,75,13.42,RU,1612568216
350,ati,13.2154,18.3353,68.97,23,0,17.07,TD,1612568216
351,altamont,42.2068,-121.7372,48.2,49,1,10.36,US,1612568216
352,hobyo,5.3505,48.5268,75.96,75,41,15.12,SO,1612568176
353,yamada,39.4667,141.95,42.01,79,90,9.37,JP,1612568217
354,shawville,45.6001,-76.4827,28.0,67,100,9.86,CA,1612568217
355,moree,-29.4667,149.85,77.0,61,90,9.22,AU,1612568217
356,truckee,39.328,-120.1833,48.2,29,1,6.91,US,1612567927
357,sao joao da barra,-21.6403,-41.0511,76.28,94,97,7.05,BR,1612568128
358,esso,55.9333,158.7,2.37,87,95,5.5,RU,1612568217
359,laguna,38.421,-121.4238,62.6,39,1,3.44,US,1612568004
360,san policarpo,12.1791,125.5072,81.3,81,69,10.51,PH,1612568218
361,shirokiy,49.758,129.523,-15.45,89,87,5.53,RU,1612568218
362,brigantine,39.4101,-74.3646,46.4,71,1,5.75,US,1612568218
363,iqaluit,63.7506,-68.5145,23.0,86,75,27.63,CA,1612568042
364,prince rupert,54.3161,-130.3201,39.2,75,90,3.44,CA,1612567925
